BLOCK,FLOOR,FLAT,PRICE,SFA
9,12,E,7.79,561
12,34,H,7.79,561
4,19,G,7.79,539
4,22,B,7.78,539
12,28,H,7.78,561
9,12,E,7.78,561
10,6,E,7.78,561
4,28,G,7.78,539
12,34,H,7.78,561
12,18,E,7.78,561
12,18,E,7.78,561
6,32,G,7.78,551
12,15,E,7.77,561
12,12,H,7.77,561
11,18,H,7.77,561
10,13,H,7.77,561
12,34,E,7.77,561
5,34,B,7.76,539
4,34,B,7.76,539
12,13,E,7.76,561
4,20,B,7.76,539
4,24,G,7.75,539
12,15,E,7.75,561
11,18,E,7.75,561
10,7,E,7.75,561
12,12,E,7.75,561
4,23,B,7.75,539
4,27,B,7.74,539
10,12,H,7.74,561
5,24,B,7.74,539
10,11,H,7.74,561
8,14,E,7.74,561
4,29,B,7.74,539
8,14,E,7.73,561
4,26,G,7.73,539
9,16,E,7.73,561
5,30,B,7.73,539
12,9,A,7.73,587
10,11,E,7.73,561
8,34,E,7.72,561
11,14,H,7.72,561
11,13,E,7.72,561
9,15,H,7.72,561
6,23,G,7.71,551
8,8,H,7.71,561
8,19,E,7.71,561
4,34,G,7.71,539
8,5,A,7.71,587
9,6,H,7.71,561
9,9,E,7.70,561
9,7,H,7.70,561
10,11,H,7.70,561
4,34,G,7.70,539
7,12,B,7.70,551
4,23,G,7.70,539
11,10,H,7.69,561
5,27,B,7.69,539
10,14,H,7.69,561
12,34,E,7.69,561
7,28,G,7.69,542
11,13,H,7.69,561
11,11,E,7.69,561
12,34,E,7.69,561
5,27,B,7.68,539
5,22,B,7.68,539
10,9,E,7.68,561
7,15,B,7.68,551
12,20,E,7.68,561
12,15,E,7.68,561
5,32,B,7.68,539
12,17,H,7.67,561
12,10,H,7.67,561
9,34,E,7.67,561
4,24,G,7.67,539
11,15,E,7.67,561
4,24,B,7.67,539
7,14,B,7.67,551
4,13,G,7.66,539
12,13,E,7.66,561
11,10,E,7.66,561
9,30,H,7.66,561
11,34,E,7.66,561
11,10,H,7.66,561
8,6,H,7.66,561
9,8,H,7.66,561
12,13,E,7.65,561
7,15,B,7.65,551
9,23,E,7.65,561
8,8,H,7.65,561
11,13,E,7.65,561
10,5,E,7.65,561
6,19,G,7.65,551
6,15,G,7.65,551
11,12,E,7.65,561
4,23,B,7.64,539
12,14,H,7.64,561
6,17,G,7.64,551
10,11,H,7.64,561
8,8,E,7.64,561
4,18,G,7.63,539
10,9,H,7.63,561
10,24,H,7.63,561
4,20,G,7.63,539
8,3,H,7.63,561
8,3,H,7.63,561
12,19,H,7.62,561
7,32,G,7.62,542
11,17,H,7.62,561
10,26,E,7.62,561
12,34,E,7.62,561
7,32,G,7.61,542
11,24,H,7.61,561
12,33,H,7.61,561
11,34,H,7.61,561
7,27,G,7.61,542
8,2,H,7.61,561
8,13,E,7.61,561
12,9,E,7.60,561
9,2,H,7.60,561
8,4,H,7.60,561
4,12,B,7.60,539
11,28,E,7.60,561
11,11,E,7.59,561
2,28,H,7.59,531
4,13,B,7.59,539
12,20,H,7.59,561
6,12,G,7.59,551
8,7,H,7.59,561
5,14,B,7.59,539
4,21,B,7.59,539
12,25,E,7.59,561
4,34,B,7.59,539
12,14,E,7.58,561
8,4,H,7.58,561
10,9,H,7.58,561
4,20,B,7.58,539
4,32,B,7.58,539
11,10,E,7.58,561
7,11,B,7.58,551
4,34,G,7.57,539
7,23,G,7.57,542
2,27,H,7.57,531
9,2,H,7.57,561
7,29,G,7.56,542
6,24,G,7.56,551
12,9,E,7.56,561
11,12,E,7.56,561
8,11,E,7.56,561
12,15,E,7.56,561
11,14,H,7.56,561
10,7,H,7.55,561
6,21,G,7.55,551
3,29,G,7.55,515
12,13,E,7.55,561
11,8,E,7.55,561
12,9,H,7.55,561
9,6,H,7.55,561
12,21,E,7.55,561
11,10,H,7.55,561
12,17,H,7.54,561
8,6,E,7.54,561
11,10,E,7.54,561
11,11,E,7.54,561
11,32,E,7.54,561
3,29,G,7.54,515
12,8,H,7.54,561
3,32,G,7.53,515
6,13,G,7.53,551
7,17,G,7.53,542
6,15,G,7.53,551
12,9,H,7.53,561
4,14,G,7.53,539
12,14,E,7.53,561
8,7,E,7.53,561
3,30,G,7.53,515
12,14,H,7.52,561
4,17,G,7.52,539
10,6,H,7.52,561
6,10,G,7.52,551
10,14,H,7.52,561
6,10,G,7.52,551
8,7,E,7.52,561
7,16,G,7.52,542
3,23,G,7.52,515
9,5,E,7.51,561
9,9,H,7.51,561
3,29,G,7.51,515
12,7,H,7.51,561
7,16,G,7.51,542
10,8,H,7.51,561
10,32,E,7.51,561
9,16,E,7.50,561
11,7,E,7.50,561
3,32,G,7.50,515
9,7,E,7.50,561
8,7,E,7.50,561
8,22,H,7.50,561
8,14,E,7.50,561
3,21,G,7.49,515
8,7,E,7.49,561
7,15,G,7.49,542
2,26,H,7.49,531
10,31,H,7.49,561
12,7,H,7.48,561
2,20,H,7.48,531
12,6,E,7.48,561
9,6,E,7.48,561
2,20,H,7.48,531
3,20,G,7.48,515
11,6,E,7.48,561
2,32,H,7.48,531
12,12,H,7.48,561
3,23,G,7.48,515
11,5,H,7.47,561
3,18,G,7.47,515
3,18,G,7.47,515
3,19,G,7.46,515
12,7,H,7.46,561
3,23,G,7.45,515
6,30,G,7.45,551
6,11,G,7.45,551
4,14,G,7.45,539
3,21,G,7.45,515
7,19,B,7.45,551
2,18,H,7.44,531
6,23,G,7.44,551
12,6,H,7.44,561
2,33,H,7.43,531
12,7,E,7.43,561
12,20,E,7.42,561
8,15,H,7.42,561
2,30,H,7.42,531
11,11,E,7.41,561
3,19,G,7.41,515
3,34,G,7.41,515
7,14,B,7.41,551
12,9,E,7.41,561
11,10,H,7.41,561
3,17,G,7.41,515
12,5,E,7.41,561
8,24,H,7.40,561
7,16,G,7.40,542
6,30,H,7.40,506
7,18,G,7.40,542
6,10,G,7.40,551
6,27,A,7.40,506
7,13,G,7.40,542
6,27,H,7.40,506
2,18,H,7.40,531
6,29,H,7.40,506
12,6,H,7.40,561
2,34,H,7.39,531
12,14,E,7.39,561
3,30,G,7.39,515
7,18,G,7.39,542
12,10,H,7.39,561
3,17,G,7.39,515
2,29,H,7.39,531
10,5,H,7.39,561
6,25,A,7.38,506
3,24,G,7.38,515
7,24,B,7.38,551
6,32,H,7.38,506
11,7,H,7.38,561
9,15,H,7.38,561
8,25,E,7.38,561
12,10,E,7.38,561
5,30,A,7.37,506
3,29,B,7.37,504
8,3,H,7.37,561
12,6,E,7.37,561
12,5,H,7.37,561
6,28,A,7.37,506
12,7,H,7.37,561
6,25,H,7.37,506
7,11,G,7.37,542
12,3,H,7.37,561
7,12,G,7.36,542
2,33,H,7.36,531
5,25,A,7.36,506
5,32,A,7.36,506
9,6,E,7.36,561
12,3,H,7.36,561
9,6,E,7.36,561
12,9,E,7.36,561
11,25,H,7.36,561
6,22,A,7.36,506
12,3,H,7.35,561
6,30,A,7.35,506
12,7,H,7.35,561
6,22,A,7.35,506
7,17,B,7.35,551
3,26,B,7.35,504
3,33,B,7.35,504
3,28,B,7.35,504
4,28,H,7.35,506
3,30,B,7.35,504
5,23,A,7.35,506
4,27,H,7.35,506
2,26,H,7.35,531
2,34,H,7.34,531
3,23,G,7.34,515
3,28,B,7.34,504
3,33,B,7.34,504
12,5,H,7.34,561
6,29,A,7.34,506
6,29,H,7.34,506
10,3,H,7.34,561
6,27,H,7.34,506
8,7,E,7.34,561
2,25,H,7.34,531
12,5,E,7.34,561
5,33,A,7.34,506
11,3,H,7.34,561
4,28,A,7.33,506
2,34,H,7.33,531
7,14,G,7.33,542
3,21,G,7.33,515
4,31,H,7.33,506
12,26,H,7.33,561
6,31,A,7.33,506
6,23,A,7.33,506
7,28,G,7.32,542
3,27,B,7.32,504
11,7,E,7.32,561
9,25,E,7.32,561
7,29,H,7.32,506
2,18,H,7.32,531
5,23,A,7.32,506
2,19,H,7.32,531
2,17,H,7.32,531
6,30,H,7.32,506
7,16,G,7.32,542
2,20,H,7.31,531
7,29,A,7.31,506
8,2,E,7.31,561
6,28,G,7.31,551
5,25,A,7.31,506
7,30,H,7.31,506
4,23,H,7.31,506
6,19,A,7.31,506
7,25,A,7.30,506
5,32,A,7.30,506
6,19,A,7.30,506
3,30,B,7.30,504
12,20,H,7.30,561
10,6,H,7.30,561
6,18,H,7.30,506
7,14,G,7.30,542
11,2,H,7.30,561
7,22,A,7.30,506
7,27,A,7.29,506
4,28,H,7.29,506
12,2,H,7.29,561
3,13,G,7.29,515
4,21,A,7.29,506
9,9,H,7.29,561
7,28,A,7.29,506
12,14,H,7.29,561
10,6,H,7.29,561
11,2,E,7.29,561
4,29,A,7.29,506
4,33,A,7.29,506
7,9,G,7.29,542
5,23,A,7.29,506
6,20,H,7.29,506
4,27,H,7.28,506
10,2,H,7.28,561
4,30,A,7.28,506
3,25,B,7.28,504
2,13,H,7.28,531
3,23,B,7.28,504
7,29,H,7.28,506
6,27,A,7.28,506
7,21,A,7.28,506
2,12,H,7.28,531
7,30,H,7.28,506
